trial number, time (seconds),outcome
606,0.0025343,failure
607,0.0024504,failure
608,0.0027859,failure
609,0.0025939,failure
610,0.0024489,failure
611,0.0025194,failure
612,0.0024154,failure
613,0.002495,failure
614,0.0025521,failure
615,0.0024504,failure
616,0.0025877,failure
617,0.0027411,success
618,0.0027757,failure
619,0.002698,failure
620,0.0008303,success
621,0.0025767,failure
622,0.0021629,success
623,0.0021883,success
624,0.0024857,failure
625,0.0015269,success
626,0.0024712,failure
627,0.0028445,failure
628,0.0024533,failure
629,0.0024419,failure
630,0.002348,success
631,0.0026363,failure
632,0.0024648,failure
633,0.0024491,failure
634,0.0024333,failure
635,0.001676,success
636,0.0025132,failure
637,0.0030628,failure
638,0.0029654,failure
639,0.0025995,failure
640,0.0017592,success
641,0.0024383,failure
642,0.002584,failure
643,0.0025641,failure
644,0.0026278,failure
645,0.002514,failure
646,0.0027346,failure
647,0.0025493,failure
648,0.0024557,failure
649,0.0017845,success
650,0.0026353,failure
651,0.0025741,failure
652,0.0025271,failure
653,0.0020144,success
654,0.002449,failure
655,0.0025964,failure
656,0.00296,success
657,0.0026101,failure
658,0.0027237,failure
659,0.0026209,failure
660,0.0024482,failure
661,0.0024678,failure
662,0.0024287,failure
663,0.0024238,failure
664,0.0024423,failure
665,0.0025553,failure
666,0.0027173,failure
667,0.0024367,failure
668,0.0022127,success
669,0.0026675,failure
670,0.0025573,failure
671,0.0012899,success
672,0.0015821,success
673,0.0024573,failure
674,0.002459,failure
675,0.0024826,failure
676,0.0024137,failure
677,0.002457,failure
678,0.0019454,success
679,0.0027398,failure
680,0.0026551,failure
681,0.0026377,failure
682,0.0024207,failure
683,0.0015616,success
684,0.0010482,success
685,0.0025569,failure
686,0.0024466,failure
687,0.0024141,failure
688,0.0024665,failure
689,0.0024671,failure
690,0.0025855,success
691,0.0027514,failure
692,0.0007691,success
693,0.0011693,success
694,0.000978,success
695,0.0026515,failure
696,0.0025981,failure
697,0.00261,failure
698,0.0027929,failure
699,0.0024274,failure
700,0.0024528,failure
701,0.0024583,failure
702,0.0019329,success
703,0.0028355,failure
704,0.001415,success
705,0.0025381,success
706,0.0024647,failure
707,0.0024292,failure
708,0.0025996,failure
709,0.0026505,failure
710,0.0026714,failure
711,0.0015012,success
712,0.0027909,failure
713,0.002687,failure
714,0.0024619,failure
715,0.0024256,failure
716,0.002452,success
717,0.0026708,failure
718,0.0025394,failure
719,0.0024538,failure
720,0.0024469,failure
721,0.002426,failure
722,0.0026244,failure
723,0.0026119,failure
724,0.0024769,failure
725,0.0024583,failure
726,0.0024693,failure
727,0.0024383,failure
728,0.0026644,failure
729,0.0010359,success
730,0.0024477,failure
731,0.0025866,failure
732,0.002452,failure
733,0.0025751,success
734,0.0027351,failure
735,0.0023882,success
736,0.0021334,success
737,0.0025538,success
738,0.0026009,failure
739,0.0016619,success
740,0.0013062,success
741,0.0024312,failure
742,0.0026372,failure
743,0.002712,failure
744,0.0008064,success
745,0.0024436,failure
746,0.0024311,failure
747,0.002366,success
748,0.0023499,success
749,0.0025468,failure
750,0.0025073,failure
751,0.0025403,success
752,0.0025198,failure
753,0.0029103,success
754,0.0006714,success
755,0.0025353,failure
756,0.0027752,failure
757,0.0027866,failure
758,0.0024726,failure
759,0.0024814,failure
760,0.0024588,failure
761,0.0026441,failure
762,0.0017159,success
763,0.002423,success
764,0.0006469,success
765,0.0026451,failure
766,0.0023873,success
767,0.002525,failure
768,0.0025419,failure
769,0.002735,failure
770,0.0028114,failure
771,0.0024513,failure
772,0.0024321,failure
773,0.0026115,failure
774,0.0024358,failure
775,0.0026366,failure
776,0.0024362,failure
